geoAreaCode,geoAreaName,n_disaggregations,timeSeries_id,timeSeries_keys,min_year,max_year,min_n_years,max_n_years
2,Africa,0,SI_POV_DAY1,,1989,2018,1,39
8,Albania,0,SI_POV_DAY1,,1996,2017,1,39
12,Algeria,0,SI_POV_DAY1,,1988,2011,1,39
19,Americas,0,SI_POV_DAY1,,1981,2019,1,39
24,Angola,0,SI_POV_DAY1,,2000,2018,1,39
32,Argentina,0,SI_POV_DAY1,,1980,2019,1,39
51,Armenia,0,SI_POV_DAY1,,1999,2019,1,39
142,Asia,0,SI_POV_DAY1,,1981,2019,1,39
36,Australia,0,SI_POV_DAY1,,1981,2014,1,39
53,Australia and New Zealand,0,SI_POV_DAY1,,1981,2017,1,39
40,Austria,0,SI_POV_DAY1,,1987,2018,1,39
31,Azerbaijan,0,SI_POV_DAY1,,1995,2005,1,39
50,Bangladesh,0,SI_POV_DAY1,,1983,2016,1,39
112,Belarus,0,SI_POV_DAY1,,1998,2019,1,39
56,Belgium,0,SI_POV_DAY1,,1985,2018,1,39
84,Belize,0,SI_POV_DAY1,,1993,1999,1,39
204,Benin,0,SI_POV_DAY1,,2003,2015,1,39
64,Bhutan,0,SI_POV_DAY1,,2003,2017,1,39
68,Bolivia (Plurinational State of),0,SI_POV_DAY1,,1992,2019,1,39
70,Bosnia and Herzegovina,0,SI_POV_DAY1,,2001,2011,1,39
72,Botswana,0,SI_POV_DAY1,,1985,2015,1,39
76,Brazil,0,SI_POV_DAY1,,1981,2019,1,39
100,Bulgaria,0,SI_POV_DAY1,,2006,2018,1,39
854,Burkina Faso,0,SI_POV_DAY1,,1994,2014,1,39
108,Burundi,0,SI_POV_DAY1,,1992,2013,1,39
132,Cabo Verde,0,SI_POV_DAY1,,2001,2015,1,39
120,Cameroon,0,SI_POV_DAY1,,1996,2014,1,39
124,Canada,0,SI_POV_DAY1,,1971,2017,1,39
29,Caribbean,0,SI_POV_DAY1,,1998,2015,1,39
135,Caucasus and Central Asia,0,SI_POV_DAY1,,1995,2008,1,39
140,Central African Republic,0,SI_POV_DAY1,,1992,2008,1,39
13,Central America,0,SI_POV_DAY1,,1981,2019,1,39
